player_id,player_name,player_nickname,country,team__id,season_id
3020,Rodrigue Casimir Ninga,Casimir Ninga,"{'id': 44, 'name': 'Chad'}",139,"{'season_id': 27, 'season_name': '2015/2016'}"
3022,Fallou Diagne,,"{'id': 202, 'name': 'Senegal'}",134,"{'season_id': 27, 'season_name': '2015/2016'}"
3023,Yuri Berchiche Izeta,Yuri Berchiche,"{'id': 214, 'name': 'Spain'}",210,"{'season_id': 2, 'season_name': '2016/2017'}"
3023,Yuri Berchiche Izeta,Yuri Berchiche,"{'id': 214, 'name': 'Spain'}",210,"{'season_id': 27, 'season_name': '2015/2016'}"
3023,Yuri Berchiche Izeta,Yuri Berchiche,"{'id': 214, 'name': 'Spain'}",215,"{'season_id': 4, 'season_name': '2018/2019'}"
3023,Yuri Berchiche Izeta,Yuri Berchiche,"{'id': 214, 'name': 'Spain'}",210,"{'season_id': 26, 'season_name': '2014/2015'}"
3023,Yuri Berchiche Izeta,Yuri Berchiche,"{'id': 214, 'name': 'Spain'}",215,"{'season_id': 90, 'season_name': '2020/2021'}"
3024,Jacques François Moubandje,François Moubandje,"{'id': 221, 'name': 'Switzerland'}",130,"{'season_id': 27, 'season_name': '2015/2016'}"
3024,Jacques François Moubandje,François Moubandje,"{'id': 221, 'name': 'Switzerland'}",773,"{'season_id': 3, 'season_name': '2018'}"
3025,Christopher Nkunku,,"{'id': 78, 'name': 'France'}",131,"{'season_id': 27, 'season_name': '2015/2016'}"
3026,Adrien Rabiot,,"{'id': 78, 'name': 'France'}",771,"{'season_id': 106, 'season_name': '2022'}"
3026,Adrien Rabiot,,"{'id': 78, 'name': 'France'}",771,"{'season_id': 43, 'season_name': '2020'}"
3026,Adrien Rabiot,,"{'id': 78, 'name': 'France'}",131,"{'season_id': 27, 'season_name': '2015/2016'}"
3027,Mathias Jattah-Njie Jørgensen,Zanka,"{'id': 61, 'name': 'Denmark'}",776,"{'season_id': 43, 'season_name': '2020'}"
3027,Mathias Jattah-Njie Jørgensen,Zanka,"{'id': 61, 'name': 'Denmark'}",776,"{'season_id': 3, 'season_name': '2018'}"
3028,Kelvin Amian Adou,Kelvin Amian,"{'id': 78, 'name': 'France'}",130,"{'season_id': 27, 'season_name': '2015/2016'}"
3030,Wergiton do Rosário Calmon,Somália,"{'id': 31, 'name': 'Brazil'}",130,"{'season_id': 27, 'season_name': '2015/2016'}"
3032,Zinédine Machach,,"{'id': 78, 'name': 'France'}",130,"{'season_id': 27, 'season_name': '2015/2016'}"
3034,Kamil Glik,,"{'id': 182, 'name': 'Poland'}",789,"{'season_id': 106, 'season_name': '2022'}"
3034,Kamil Glik,,"{'id': 182, 'name': 'Poland'}",789,"{'season_id': 43, 'season_name': '2020'}"
3034,Kamil Glik,,"{'id': 182, 'name': 'Poland'}",789,"{'season_id': 3, 'season_name': '2018'}"
3034,Kamil Glik,,"{'id': 182, 'name': 'Poland'}",241,"{'season_id': 27, 'season_name': '2015/2016'}"
3035,Steeve Yago,,"{'id': 36, 'name': 'Burkina Faso'}",130,"{'season_id': 27, 'season_name': '2015/2016'}"
3036,Alexis Blin,,"{'id': 78, 'name': 'France'}",130,"{'season_id': 27, 'season_name': '2015/2016'}"
