,home_formation,home_position,away_formation,away_position,minute,ball_possession,home_goal
5942,442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",41,0.5918827508455468,0
5943,442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",64,0.4833948339483395,0
5944,442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",0,0.5172413793103449,0
5945,442,"[1, 2, 3, 5, 6, 12, 13, 15, 16, 22, 24]",442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",0,0.47249190938511326,0
5946,442,"[1, 2, 3, 5, 6, 12, 13, 15, 16, 22, 24]",442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",33,0.5052243392747388,0
5947,442,"[1, 2, 3, 5, 6, 12, 13, 15, 16, 22, 24]",442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",71,0.5940298507462687,1
5948,442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",0,0.5435684647302904,0
5949,442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",5,0.3333333333333333,0
5950,442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",433,"[1, 2, 3, 5, 6, 10, 13, 15, 17, 21, 23]",7,0.6470588235294118,0
5951,442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",433,"[1, 2, 3, 5, 6, 10, 13, 15, 17, 21, 23]",7,0.4857142857142857,0
5952,442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",11,0.39287026828371924,-1
5953,442,"[1, 2, 3, 5, 6, 12, 13, 15, 16, 22, 24]",442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",0,0.4404677533664068,-2
5954,442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",442,"[1, 2, 3, 5, 6, 12, 13, 15, 16, 22, 24]",0,0.566935826604335,0
5955,442,"[1, 2, 3, 5, 6, 12, 13, 15, 16, 22, 24]",4321,"[1, 2, 3, 5, 6, 10, 13, 15, 18, 20, 23]",0,0.6318387494858083,1
5956,442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",451,"[1, 2, 3, 5, 6, 10, 12, 13, 15, 16, 23]",0,0.6140567200986436,0
5957,442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",451,"[1, 2, 3, 5, 6, 10, 12, 13, 15, 16, 23]",17,0.6195826645264848,0
5958,433,"[1, 2, 3, 5, 6, 10, 13, 15, 17, 21, 23]",451,"[1, 2, 3, 5, 6, 10, 12, 13, 15, 16, 23]",46,0.6858168761220825,0
5959,4321,"[1, 2, 3, 5, 6, 10, 13, 15, 18, 20, 23]",442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",0,0.4993560849967804,0
